Account,Date,daily_pnl,trade_count,avg_trade_size,avg_leverage,long_trades,short_trades,long_short_ratio,win_day,cum_pnl,rolling_peak,drawdown_proxy,pnl_volatility,lev_adjusted_pnl,pnl_per_unit_leverage,account_win_rate,account_pnl_std,leverage_segment,frequency_segment,consistency_segment,Classification,sentiment,value
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,14810.891818181817,93.03087404125637,139,323,0.42901234567901236,0,-327505.900056,-327505.900056,0.0,1594696.6427804816,-3520.4001191127268,-3482.961350676222,0.5,1594696.6427804816,Low_Leverage,Infrequent,Inconsistent,Greed,1.0,74.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,16345.241939809297,112.88711636772211,1572,1784,0.880672268907563,1,1600229.819979,1600229.819979,0.0,1594696.6427804816,17076.667223525594,16926.72342155604,0.5,1594696.6427804816,Low_Leverage,Frequent,Inconsistent,Fear,0.0,44.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,320,2492.74990625,63.5951055255985,145,175,0.8238636363636364,1,20607.446093000002,20607.446093000002,0.0,5306.302961252698,324.041385302915,319.02488470792025,1.0,5306.302961252698,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,1693.3516841211435,481200.4823495673,1528,2005,0.7617148554336989,1,37706.173148,37706.173148,0.0,5306.302961252698,0.035533478627269244,0.035533404784024926,1.0,5306.302961252698,High_Leverage,Frequent,Consistent,Fear,0.0,44.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,10179.147366,3427,1533.4683950977533,4598.832294687384,1382,2045,0.6754643206256109,1,47885.320514,47885.320514,0.0,5306.302961252698,2.2134199974543645,2.2129388016507674,1.0,5306.302961252698,High_Leverage,Frequent,Consistent,,,
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,6070.2,321.4199406003886,2,3,0.5,0,-1.0,-1.0,0.0,58039.786589468575,-0.003111194651246821,-0.003101545140594802,0.5,58039.786589468575,Low_Leverage,Infrequent,Consistent,Neutral,,50.0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,31941.660000000003,1961.5287111375521,3,2,1.0,1,1792.1602149999999,1792.1602149999999,0.0,58039.786589468575,0.9141646537307577,0.9136988441614288,0.5,58039.786589468575,High_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,10836.90096830986,15272.865951702137,506,630,0.8019017432646592,1,31763.088431,31763.088431,0.0,58039.786589468575,1.9623643860149107,1.9622359074494828,0.5,58039.786589468575,High_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,-102199.279749,2663,8025.783559894856,1279.952296189701,1055,1608,0.6556867619639528,0,-70436.191318,31763.088431,-102199.279749,58039.786589468575,-79.84616305876223,-79.7838296187924,0.5,58039.786589468575,High_Leverage,Infrequent,Consistent,,,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,483.5901143386898,1581.5410461595131,3086,3386,0.911130794213168,1,121880.386016,121880.386016,0.0,67508.39325247236,77.06432046892776,77.0156238991573,1.0,67508.39325247236,High_Leverage,Frequent,Consistent,Greed,1.0,74.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,533.2378127759788,3087.282860045182,3606,3188,1.1307619943555973,1,132315.481685,132315.481685,0.0,67508.39325247236,3.380025783852952,3.3789313161707386,1.0,67508.39325247236,High_Leverage,Frequent,Consistent,Fear,0.0,44.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,149.33286900000002,45,97.98177777777778,1863.1484579293895,7,38,0.1794871794871795,1,132464.814554,132464.814554,0.0,67508.39325247236,0.0801508158753818,0.08010781993504536,1.0,67508.39325247236,High_Leverage,Infrequent,Consistent,,,
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,2941.8256880733943,16.22887953334872,305,458,0.664488017429194,1,52215.729448,52215.729448,0.0,58294.31980323511,3217.457455439355,3030.7095331956853,1.0,58294.31980323511,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,2471,3205.000631323351,22.73754669595899,872,1599,0.545,1,168627.984054,168627.984054,0.0,58294.31980323511,5119.8247622154095,4904.140099103741,1.0,58294.31980323511,Low_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-06-15,30.02094,5,542.1279999999999,1.2502195650388135,2,3,0.5,1,168658.004994,168658.004994,0.0,58294.31980323511,24.012534149605944,13.341338092703934,1.0,58294.31980323511,Low_Leverage,Infrequent,Consistent,,,
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,3,159.0,1191.326187411838,3,0,3.0,0,0.0,0.0,0.0,28269.673903871262,0.0,0.0,0.2857142857142857,28269.673903871262,High_Leverage,Infrequent,Consistent,Greed,1.0,59.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,2,23066.935,660400.7453731581,2,0,2.0,0,0.0,0.0,0.0,28269.673903871262,0.0,0.0,0.2857142857142857,28269.673903871262,High_Leverage,Infrequent,Consistent,Greed,1.0,69.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,27,3048.5944444444444,2831.2696056214922,4,23,0.16666666666666666,0,-5564.01614,0.0,-5564.01614,28269.673903871262,-1.965201805208742,-1.9645079440730266,0.2857142857142857,28269.673903871262,High_Leverage,Infrequent,Consistent,Greed,1.0,84.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,80,767.24775,0.8608842378158823,35,45,0.7608695652173914,1,-5348.261342,0.0,-5348.261342,28269.673903871262,250.61998875410188,115.94208474420266,0.2857142857142857,28269.673903871262,Low_Leverage,Infrequent,Consistent,Neutral,,50.0
